,title,is_fake
1497,оренбургский детдом присваивать имя дань милохин,1
1498,киндер сюрприз окрашивать цвет польша легко разделяться надвое варшава запрещать шоколадный яйцо,1
1499,курорт краснодарский край отдыхающий пускать черный море qrкоду,1
1500,чубайс суд добиваться возвращение дом свой дед центр москва национализировать 1918 год,1
1501,сша школьник попытаться устраивать массшутинг застреливать ответный огонь одноклассник,1
1502,власть сша разрешать лайнер мечта полет,0
1503,опк проигрывать тендер строительство фрегат вмф россия,0
1504,студент гнесинка опротестовывать выселение общежитие концерт,0
1505,детский мир лубянка сменить название,0
1506,фронтмен blink182 выпускать детский книжка космонавт,0
1507,2030 год дом беларусь должный звучать русский речь wikileaks обнародоваться секретный протокол белорусский оппозиция,1
1508,австралийский кинофонд основывать стипендия имя хит леджер,0
1509,русский премия доставаться украинец киргиз,0
1510,усейн болт называть криштиану роналд размазня,0
1511,футболист зенит включать команда неделя лига европа,0
1512,прививка astrazeneca скончаться кощей бессмертный,1
1513,гтк признавать нарушитель антимонопольный законодательство,0
1514,тува обнаруживать сохраняться захоронение скиф,0
1515,анастасия мыскина выигрывать ролан гаррос час,0
1516,космодром восточный перенести хабаровск,1
1517,любимый игрок георгий ярцева миллион фунт переходить болтон,0
1518,росавиа откладывать покупка 65 новый самолет,0
1519,россия удовлетворять весь военный запрос венесуэла,0
1520,дрейк придавливать штанга рекламный видео apple music,0
1521,google усложнять капча пользователь штат проголосовать трамп,1
1522,intel анонсировать процессор atom медиафон,0
1523,россиянин мочь запрещать хранить дома 100 тысяча рубль,1
1524,состояться жеребьевка чемпионат мир футбол,0
1525,бритни спирс обвинять кража песня,0
1526,первый день работа языковой патруль оштрафовать 200 житель женева незнание ретороманский,1
1527,саша барон коэн попытаться расспрашивать шварценеггер гей,0
1528,пентагон признавать неспособность противостоять российский гиперзвуковой ракета,0
1529,выпускник сделать прививка коронавирус получать дополнительный балл результат егэ,1
1530,дмитрий медведев поручать отпраздновать двадцатилетие единый россия плохо китай,1
1531,джонсон    крепкий орешек bbc опубликовывать расшифровка переговоры российский военный,1
1532,петровский путевой дворец открывать ко день город,0
1533,порошенко возгордиться кредит мвф,0
1534,рпц предлагать отмечать 12 апрель вознесение раб божий небесный твердь,1
1535,фбр выплачивать валерия 250 тысяча доллар информация график рабочий поездка пригожина,1
1536,почта россия планировать увеличивать чистый прибыль вдвое,0
1537,евгений касперский решать возглавлять лаборатория имя,0
1538,физик собирать монополь дирак конденсат бозеэйнштейн,0
1539,улучшение безопасность школа 30 педагогический должность занимать сотрудник росгвардия,1
1540,россвязь подымать тариф варп,1
1541,дом который находиться ростовский квартира дональд трамп признавать аварийный,1
1542,мадрид захоронить останки сервантес спустя 400 год смерть,0
1543,китай становиться крупный экспортер береза мир,1
1544,небрежный рисунок херст продавать 4500 фунт стерлинг,0
1545,захаров открытие шенгенский виза посольство просить россиянин переводить деньги сторонник алексей навальный,1
1546,фк москва купить форвард барселона,0
1547,фильм тлетворный влияние езда харлей,0
1548,чиновник разрешать открывать новый пиф,0
1549,россиянин добывать гелий3 луна,0
1550,болт включать состав сборная ямайка московский чм легкий атлетика,0
1551,аргентинец нападывать футбольный судья пробивать голова,0
1552,the forbes опубликовывать рейтинг хороший российский бренд,0
1553,департамент здравоохранение москва переболеть коронавирус полгода назад нужно переболеть повторно,1
1554,выборы президент 2024 год впервые история сша проводить частный компания,1
1555,обнаруживать аномалия расширение вселенная,0
1556,техасский резня бензопила возглавлять североамериканский кинопрокат,0
1557,американский инвестор потерять интерес ветряной энергетика,0
1558,задерживать пранкер который организовывать колонна бюджетник митинг освобождение навальный,1
1559,prince of persia поставлять пауза,0
1560,роскосмос проигрывать тендер межевание луна малоизвестный компания нарьянмар,1
1561,американец получать пожизненный срок изнасилование происходить 201 год назад,1
1562,пригожин предрекать провокация евровидение киев,0
1563,евровидение передумывать устраивать иерусалим скандал,0
1564,среди вакцинировать россиянин разыгрывать десять место совет федерация,1
1565,семья рогозин замечать список купить билет unity22,1
1566,барселона подтверждать договоренность месся новый контракт,0
1567,вдова ролан быков выигрывать иск против издатель,0
1568,участник чм2018 отгораживаться россиянин шестиметровый забор,0
1569,вернуться посол сша поселять 101 километр москва,1
1570,синьхуа китай обдумывать возможность открываться благодаря остановка транссиб,1
1571,посол россия начинать раздавать борщ гречка протестовать капитолий американец,1
1572,20th century fox помощь спецэффект удалять дональд трамп фильм дом 2,1
1573,россия запрещать продавать автомобиль пробег 100 тысяча км,1
1574,называть причина массовый гибель древний цивилизация,0
1575,наталья орейро сыграть главный роль новый сезон тайна следствие,1
1576,монеточка присваивать звание народный артистка россия,1
1577,вектор объявлять начало испытание вакцина против феминизм,1
1578,петербург запрещать показ фильм усатый няня,1
1579,китаец излечивать гомосексуализм благодаря технология 5g становиться отец,1
1580,американский прокат возглавлять заражение,0
1581,место весь блогер    лефортово общественный палата предостерегать необдуманный регистрация портал youtube,1
1582,россия запрещать зимний рыбалка qrкода,1
1583,таксист запрещать повышать цена новогодний ночь,1
1584,роберто баджо получать работа федерация футбол италия,0
1585,задержанный наркоторговля сын пел оправдывать дело убийство,0
1586,трамп представлять участник штурм капитолий государственный награда,1
1587,москва передавать старый склад боеприпасы евросоюз,1
1588,deep purple осень отправляться концертный турне россия,0
1589,патриарх кирилл российский народ обеспечивать кроме самый главный    госидеология,1
1590,газпром получать 56 миллиард рубль акция свой конкурент,0
1591,майка тайсон весь мир спасать банкротство,0
1592,день космонавтика золотой кольцо вместо турция подготовка легендарный отварной сосиска наш еженедельный рубрика панорама неделя,1
1593,здание венерологический лечебница лечиться есенин признавать объект культурный наследие,1
1594,десять португальский клуб обязывать взять состав китайский футболист,0
1595,светлана тихановский переизбирать пост президент беларусь,1
1596,россия выдавать белоруссия кредит отрицательный ставка,1
1597,алексей навальный выступать генассамблея оон представитель германия,1
1598,роскомнадзор объяснять блокировка сайт навальный низкий посещаемость,1
1599,иена устанавливать послевоенный рекорд доллар,0
1600,борьба здоровый грудь включаться розовый фотоаппарат polaroid,0
1601,роскосмос построить первый мир орбитальный завод сжигание космический мусор,1
1602,американский ассоциация пилотовгей запрещать свой член выполнять рейс россия,1
1603,c 1 январь россия запрещать самогонный аппарат,1
1604,изза холод великобритания учащаться случай отравление антифриз,1
1605,обладатель кубок гагарин вернуться московский динамо,0
1606,суд сша приостанавливать рассмотрение иск бывший акционер юкос россия,0
1607,отечественный аналог adobe flash player получать имя зарево,1
1608,the sun сообщать план награждать камбербэтч орден британский империя,0
1609,билет 20 тысяча студент предъявлять вход пушкинский карта избивать охрана московский театр,1
1610,расследование аппаратный защита майнинг превращать ваш rtx3060 gtx660,1
1611,священник рпц мочь лишать неприкосновенность,1
1612,россельхознадзор разрешать импорт черный икра иран,0
1613,власть дания проводить проверка законность продажа lego bionicle владимир соловьев,1
1614,уефа наказывать днепр болельщиковрасист,0
1615,футболист камерун прибывать бразилия девушка легкий поведение,0
1616,съемка третий пират карибский море завершаться март 2006 год,0
1617,владивосток ошибка показывать новогодний поздравление президент 2027 год,1
1618,огненный шоколад заинтересовывать российский орган власть,0
1619,главный тренер шведов называть игра акинфеев чудо,0
1620,норвежский олимпиец отдавать свой призовой пенсионер,1
1621,цель защита свой itгигантов сша вводить санкция против mailru group,1
1622,сша оставлять афганистан 15 тысяча военнослужащий охрана маковый плантация,1
1623,ук мочь появляться наказание занятие незаконный оппозиционный деятельность,1
1624,футболист ливерпуль переходить зенит,0
1625,фсин преобразовывать рослаг,1
1626,пресный вода крым закупать израиль,1
1627,иран новость возможный снятие санкция отмечать ракетный салют сторона израиль,1
1628,цифровой прогресс м02м пристыковаться мкс,0
1629,участник sonic youth led zeppelin записывать композиция танцевальный постановка,0
1630,обама пожаловаться коррупция мокнуть фифа,0
1631,год выпускать 40 миллион iphone 3g,0
1632,гражданский кодекс появляться статья регламентировать понятийный отношение человек,1
1633,брянск полицейский перепутывать протестовать светлячок,1
1634,ждать премия 59 год михаил горбачев посоветовать навальный расстраиваться,1
1635,ратко младича однажды рассказывать шойгу помощь баржа десяток мусульманин устраивать серб праздник долго хохотать,1
1636,газпром начинать строительство морской участок турецкий поток,0
1637,основатель ренессанс капитал вернуться управление крупный инвестбанк россия,0
1638,барселона давать бекхэм неделя раздумье,0
1639,россия создавать палестинский автономный область,1
1640,ес разыскивать пранкер организовывать выступление европарламент российский актер вид канцлер фрг,1
1641,полицейский спасать москвич заблудиться метро екатеринбург,1
1642,бобслеистка ирина скворцов выписывать реанимация,0
1643,роль дед мороз снегурочка главный кремлевский елка исполнять виктор янукович ангел меркель,1
1644,манежный площадь перекрывать 21 апрель изза подготовка празднование день рождение ленин,1
1645,марат измайлов приезжать сборная россия,0
1646,овечкин прерывать затяжной безголевой серия,0
1647,рамка акция сохранять лес активист высаживать 100 дерево редкий порода дача прокурор район,1
1648,физик управлять квантовый симметрия двухслойный графена,0
1649,навальный пообещать вводить санкция против блинкен изза встреча лавров,1
1650,посещение рублевка немецкий политик раскритиковывать низкий зарплата чиновник германия,1
1651,актер валерий гаркалин избивать москва,0
1652,тайсон фьюри оштрафовать оскорбление соперник,0
1653,россия вводить налог переселение городамиллионник,1
1654,данный система эраглонасс помогать выписывать штраф неправильный парковка 2 млрд рубль год,1
1655,кострома жених уходить загс узнавать невеста вакцинировать,1
1656,сколково вывести попугай выкрикивать патриотический лозунг,1
1657,банк венесуэла разрешать обращение чернобелый копия деньги,1
1658,минэкономразвития назначать директор госмонополия,0
1659,вызывать мид россия посол колумбия задерживать тайник кокаин,1
1660,официальный курс евро упасть рубль,0
1661,фсин помогать решать проблема дефицит школьный педагог,1
1662,юлия навальный становиться преемница меркель пост канцлер фрг,1
1663,минпросвещение добавлять урок мужество школьный программа обж,1
1664,ягра признавать хороший форвард неделя,0
1665,неудержимый 2 сохранять лидерство российский прокат,0
1666,queen выступать новый вокалист москва,0
1667,грета тунберг техас    лишь начинать скоро навсегда забывать глобальный потепление,1
1668,путин показывать запись посадка американский марсоход выдавать высадка российский десантник сирия,1
1669,китай подготовить ответный удар торговый война сша,0
1670,горан иванишевич уходить теннис вслед сампрас,0
1671,российский олимпиец просить наказывать майор елена исинбаев сон пост,1
1672,wada напоминать жесткий санкция против россия,0
1673,ход кампания борьба мусор самарский коммунальщик снести казачий станица,1
1674,называть причина чернобыльский катастрофа,0
1675,сообщение коррупция чиновник приравнивать госизмена,1
1676,рядовой шойгу пожаловаться дискриминация изза фамилия назначать министр оборона тува,1
1677,поставщик apple раскрывать сумма штраф утечка данные iphone ipad,0
1678,черчесов вызывать ольга бузова сборная россия,1
1679,курс доллар превышать 85 рубль,0
1680,школьница прикасаться зарядка iphone сон умирать,0
1681,рашкин отказываться прохождение днктест рамка дело убийство беременная лосиха,1
1682,rolling stones сыграть бесплатный концерт голливуд,0
1683,петь лукашенко предлагать отправлять роман протасевич евровидение,1
1684,хабаровский зоопарк рысь обматерить посетитель,1
1685,секондхэнд оставаться бутик,0
1686,русский националист становиться российский,1
1687,новосибирск вводить чрезвычайный положение изза начало таяние снег,1
1688,становиться известный результат поиск таинственный тип нейтрино,0
1689,российский изобретатель обязывать регистрировать международный патент государство,1
1690,россия отказываться интернет изза сбой работа,1
1691,увольнять ла скала певец устраивать концерт театр,0
1692,роскомнадзор замедлять крупный порносайт,1
1693,сша называть срок запуск первый коммерческий термоядерный реактор,0
1694,состав бундестаг согласовываться российский представитель,1
1695,школьница самара организовывать сбор лед отправка антарктида,1
1696,сша вслед россия возобновлять создание сверхзвуковой самолет,0
1697,диана шурыгин рамка пмэф рассказывать школьник эффективный модель ведение бизнес,1
1698,монакский компания удаваться конфисковать болид бар,0
1699,лнр находить родниковый источник обогащать уран тритий дейтерид литий,1
1700,мвд отмечать доблесть освистывать игра боксер сержант тищенко,0
1701,газпром свертывать программа газификация регион россия просьба лукашенко,1
1702,победа анатолий вассерман выборы средний iq депутат повышаться 8 пункт,1
1703,казах откладывать покупка банк петрокоммерц,0
1704,папа римский разрешать католический священник иметь ребенок,1
1705,гибдд перепроверять весь нарушение пдд последний 5 год,1
1706,call of duty black ops выходить mac,0
1707,санктпетербург сталкиваться необъяснимый рост число заболевать covid19,1
1708,ювентус сыграть барселона финал лига чемпион,0
1709,софья мартинез джек бентон депортировать россия серия гонка столкновение устраивать мкад,1
1710,швейцарский фармацевт увольнять 2500 сотрудник ради экономия,0
1711,буш побивать рекорд рейган темп рост военный расход,0
1712,убыток вр разлив нефть приближаться миллиард доллар,0
1713,текст новый гимн россия написать денис майданов,1
1714,российский теннисистка выигрывать турнир мексика,0
1715,нафтогаз отрицать наличие двухмиллиардный долг rosukrenergo,0
1716,новогодний подарок дорогой 1000 рубль облагаться налог,1
1717,тысяча работник белорусский госпредприятие выходить митинг поддержка дональд трамп,1
1718,певица ника минаж оплачивать студент бишкек поездка фестиваль сочи,0
1719,узбекистан объявлять нежелательный 225 фильм курящий гей свингер,0
1720,шувалов выдавать госгарантия 26 миллиард рубль,0
1721,новый миссия сердюкова новый ведущий детский вокальный шоу приключение познер мытищинский стрелок наш еженедельный рубрика панорама неделя,1
1722,шлемустереовизор ps4 предсказывать презентация март,0
1723,индия производить тысяча танк т90,0
1724,пентагон возобновлять разработка гиперзвуковой разведчик,0
1725,парижский музей пикассо закрываться ремонт,0
1726,карпин заключать новый контракт спартак,0
1727,самара принудительно усыплять попугай выкрикивать лозунг свобода навальный,1
1728,22 июнь россия запрещаться имя адольф,1
1729,сергей безруков жениться сценаристка елка,0
1730,первомайский демонстрация разрешать плакат конструктивный критика власть,1
1731,актер гарри поттер погибать долина смерть,0
1732,госдума предлагать сделать платный прием жалоба население,1
1733,интер рао выкупать огк3 норникель,0
1734,реал подписывать контракт семилетний ребенок,0
1735,microsoft выпускать hdверсию age of empires 2,0
1736,отставка макрон требование желтый жилет президент становиться жена,1
1737,глава район подарить многодетный семья новый кальян,1
1738,шакил онил устанавливать очередной достижение,0
1739,новый год каждый десятый сигарета пачка никотин,1
1740,меркель лукашенко договариваться разделять польша миграционный зона,1
1741,силовик задерживать группа хакер полгода перечислять зарплата депутат госдума карточка пенсионер,1
1742,сайт госзакупки появляться тендер поставка 25 тысяча справка вакцинация covid19,1
1743,русский торги лондон установленный первый рекорд сезон,0
1744,конституционный суд признавать 51ю статья конституция неконституционный,1
1745,швед вызывать 17 игрок нхл участие чемпионат мира2017,0
1746,навальный выпускать свобода удо,1
1747,путин поручать греф разрабатывать новый пенсионный схема,0
1748,сеть ломбард победа увеличивать стоимость прием медаль орден 75 честь день победа,1
1749,изза российский санкция армия сша образовываться дефицит танк,1
1750,навальный становиться лидер россия civilization 6,1
1751,телеканал nbc показывать сериал изучение хипстер,0
1752,болгария потратить перевооружение 15 миллиард доллар,0
1753,ford подавать суд китайский концерн изза схожий название,0
1754,терек усиливаться хороший бомбардир лига европа,0
1755,минобороны облагораживать город снимать вооружение комплекс топольм,1
1756,xbox 360 выходить новый руль,0
1757,продюсер ico shadow of the colossus покидать sony,0
1758,lenovo добавлять ноутбук новый ядро,0
1759,sega называть дата выход company of heroes 2,0
1760,задерживать школьница фотографироваться одетый фон храм,1
1761,капитан спартак призывать болельщик переставать считать чужой деньги,0
1762,первый российский mmorpg ребенок против волшебник online становиться доступный бетатестирование июль,1
1763,песков заявлять нелинейность вопрос приватизация башнефть,0
1764,джеймс кэмерон выпускать стереоверсия титаник,0
1765,вконтакте заблокировать страница навальный сообщество поддержка,1
1766,абрамович приготавливать 160 миллион евро новый футбольный покупка,0
1767,мэр краснотурьинск отдавать свой газифицировать дача пенсионерка который дозваниваться прямой линия,1
1768,байден конец президентство гей становиться 50 житель сша,1
1769,всемирный банк впервые выпускать облигация юань,0
1770,ирина яровой доступ интернет белый список    это цензура защита ребенок,1
1771,певицашансонье потребовать 666 тысяча рубль создатель свинка пеппа,0
1772,футболист сборная россия отвергать подозрение нетрадиционный ориентация,0
1773,официальный курс евро упасть рубль,0
1774,илона маск запускать капсула covid19 предел солнечный система,1
1775,рогозин сообщать намерение отправлять навальный луна,1
1776,телеактер удаваться заключать трудовой контракт киностудия сша,0
1777,недельный инфляция россия сохраняться уровень 01 процент,0
1778,мировой правительство мочь начинать штрафовать государство отставать темп вакцинация гражданин,1
1779,сенсорный смартфон palm pre поступать продажа,0
1780,2007 год boeing airbus продавать семь самолет сутки двое,0
1781,лувр снисходить англоговорящий любитель искусство,0
1782,никита михалков представлять чертеж космолет николай ii,1
1783,правительство предлагать снижать пенсия 70 год,1
1784,россия запрещать европейский чартер закрывать небо украина,0
1785,сборная россия футбол разгромить финляндия,0
1786,премия корней чуковский присуждать эдуард успенский,0
1787,центробанк швеция снижать базовый ставка впервые год,0
1788,иностранный производитель обязывать маркировать товар сделать недружественный страна,1
1789,джоан роулинг запускать сайт намек продолжение поттериана,0
1790,выходить первый 25томной православный энциклопедия,0
1791,ржд выступать инициатива замедлять скорость самолет,1
1792,1 сентябрь российский школа вместо английский преподавать эсперанто,1
1793,авиакомпания сша европа создавать крупный трансатлантический альянс,0
1794,завод тинькофф выпускать хлеб,0
1795,команда овечкин выбывать кубок стэнли,0
1796,владивосток неизвестный похищать лидер местный движение сталин отправлять кндр,1
1797,амели получать чертов дюжина сезар,0
1798,цб отзывать лицензия московский айманибанк,0
1799,журналист замечать стол никита михалков портрет владимир путин,1
1800,актриса саша грей получать российский гражданство,1
1801,просветительский марафон российский школьник объяснять почему гарри поттер гореть ад,1
1802,электрол снимать облачный рябь остров индийский океан,0
1803,компенсация аэрофлот лизинг ssj100 забывать закладывать бюджет,0
1804,астроном исследовать история древний звезда планета,0
1805,роспотребнадзор обязывать американский фастфуд работать россия добавлять меню блюдо русский кухня,1
1806,жюри каннский фестиваль впервые возглавлять испанец,0
1807,илона маск предлагать вознаграждение поимка злоумышленник вырывать страница советский учебник физика,1
1808,foreign office капитан эсминец defender подавать отставка месяц назад,1
1809,дмитрий муратов посоветовать отказываться нобелевский премия польза захар прилепин,1
1810,сирия объявлять снижение пенсионный возраст,1
1811,накануне день вмф петербург проходить конференция роль гомосексуализм укрепление флотский товарищество,1
1812,первый продуктовый карточка россия получать депутат госдума,1
1813,называть самый задолжать страна европа,0
1814,россия работать половина авиапарк,0
1815,депутат придумывать российский садиться передвижной магазин водка,0
1816,рпц требовать дисквалифицировать виталина бацарашкин использование магический амулет олимпиада,1
1817,пентагон православный храм становиться ориентир бомбардировка случай война россия,1
1818,кубок дэвис выигрывать парная встреча француз выходить вперед,0
1819,12 апрель павильон космос вднх открываться выставкапродажа деликатес камчатка,1
1820,хусейн амини дорабатывать сценарий белоснежка егерь,0
1821,алексей панин предъявлять обвинение организация похищение собака леди гага,1
1822,cnn зацензурировать ангелина мельников церемония награждение олимпийский медаль,1
1823,людмила петрушевская презентовать киев новый книга поросенок петр возвращаться,1
1824,арестованный участник захват капитолий включать программа испытание вакцина pfizer,1
1825,европейский вуз отказываться изучение изза ассоциация лидер кнр,1
1826,орешкин увидеть возможность сберегать резервный фонд,0
1827,биатлонист сергей чепиков становиться второй гонка преследование этап кубок мир,0
1828,госдума предлагать запрещать продажа алкоголь нерабочий день,1
1829,курс доллар упасть 30 копейка фон дорожать нефть,0
1830,сборная россия отстранять участие чемпионат европа баскетбол,0
1831,фабрегаснуть отказываться переход барселона,0
1832,лондонский конкурс двойник мистер бина побеждать аутист саратов,1
1833,архив алиса страна чудо идти молоток,0
1834,взламывать коллцентр матросский тишина утекать данные миллион клиент сбербанк,1
1835,российский фристайлист проигрывать украинец борьба золото,0
1836,основатель издательство черный сотня называть слух антисемитизм еврейский вранье,1
1837,nvidia предсказывать сокращение выручка вдвое,0
1838,китайский ученый находить скелет динозавраневидимка,0
1839,генеральный прокурор сша начинать расследование против российский спортсмен участвовать олимпиада,1
1840,русский стандарт оставаться единственный претендент nemiroff,0
1841,хоккеист бросать сборная ради российский паспорт,0
1842,ученый сколково извиняться массовый сбой работа интернет,1
1843,михаил горбачев вызывать московский суд иск нод,1
1844,постановление сергей аксенов вводиться плата проезд территория крым,1
1845,мид германия оркестр встреча юлия навальный аэропорт предоставлять частный компания,1
1846,the postal service выкладывать сеть неизвестный песня,0
1847,банк англия пообещать заливать brexit сотня миллиард доллар,0
1848,телевидение туркменистан объявлять гурбангулы бердымухамедов победитель евровидение,1
1849,курс доллар опускаться низко 76 рубль,0
1850,украинский боксер усик побеждать россиянин князева,0
1851,рейс владивостокпекин впервые история пройти территория белоруссия,1
1852,посол россия анатолий антонов обсуждать член движение талибан подрыв антироссийский усилие сша,1
1853,вместе диагноз кайлить миноуг получать предложение рука сердце,0
1854,россия предлагать вводить процедура публичный раскаяние признание вина работа экстремистский организация,1
1855,владимир кличко договариваться бой сэмюэл питер,0
1856,детский дом саратовский область признавать иностранный агент,1
1857,amnesty international признавать скопинский маньяк узник совесть,1
1858,объект дочка роснефть тамбов происходить пожар,0
1859,минпросвещение предлагать оплачивать аборт несовершеннолетний ученица бюджет школа,1
1860,определяться весь полуфиналист лига европа,0
1861,белорус обязывать вешать портрет лукашенко свой квартира,1
1862,опубликовывать рейтинг самый богатый человек украина,0
1863,россиянин который привозить коронавирус изза граница привлекать ответственность,1
1864,фсин заводить официальный аккаунт tiktok,1
1865,израиль показывать беспилотник россия,0
1866,российский картина везти швейцария тайный маршрут,0
1867,талибан назначать кандагарский мясник посол афганистан россия,1
1868,витринатва минцифра заменять youtube федеральный телевидение,1
1869,байден извиняться кадыров слово путин,1
1870,редкость левосторонний улитка связывать океанический течение,0
1871,полиция начинать изымать скоромный продукт столичный супермаркет,1
1872,продавать аукцион окурок джордж флойд оказываться подделка,1
1873,напиток черноголовка опровергать подача иск heineken,0
1874,взятка камаз десятирублевый монета признавать оптовый партия казачий сувенир,1
